Period,Type 1 Departments - Major A&E,Percentage in 4 hours or less (all)
01/08/2010,"1,138,652",0.971874223
01/09/2010,"1,150,728",0.948256226
01/10/2010,"1,163,143",0.957813738
01/11/2010,"1,111,295",0.970649047
01/12/2010,"1,159,204",0.968245459
01/01/2011,"1,133,881",0.968889265
01/02/2011,"1,053,707",0.970750082
01/03/2011,"1,225,222",0.971042224
01/04/2011,"1,197,213",0.975932223
01/05/2011,"1,221,687",0.974360754
01/06/2011,"1,168,468",0.968901808
01/07/2011,"1,211,066",0.966221919
01/08/2011,"1,135,801",0.966044292
01/09/2011,"1,162,143",0.957950305
01/10/2011,"1,200,708",0.95755637
01/11/2011,"1,134,959",0.949873517
01/12/2011,"1,141,606",0.965369009
01/01/2012,"1,137,916",0.963515032
01/02/2012,"1,120,423",0.968116886
01/03/2012,"1,263,082",0.96745527
01/04/2012,"1,149,634",0.970676597
01/05/2012,"1,251,414",0.970404992
01/06/2012,"1,222,084",0.966949709
01/07/2012,"1,248,953",0.962414306
01/08/2012,"1,197,384",0.960119571
01/09/2012,"1,178,361",0.946671857
01/10/2012,"1,214,433",0.945438565
01/11/2012,"1,167,908",0.942918954
01/12/2012,"1,202,080",0.935126251
01/01/2013,"1,149,837",0.934410629
01/02/2013,"1,085,333",0.965732249
01/03/2013,"1,226,196",0.969230539
01/04/2013,"1,199,089",0.966812182
01/05/2013,"1,229,747",0.962840122
01/06/2013,"1,191,352",0.957855113
01/07/2013,"1,281,700",0.956680479
01/08/2013,"1,189,671",0.959157733
01/09/2013,"1,156,569",0.952835067
01/10/2013,"1,199,259",0.951713804
01/11/2013,"1,139,112",0.946383131
01/12/2013,"1,172,011",0.956150349
01/01/2014,"1,142,284",0.952623802
01/02/2014,"1,084,744",0.948337591
01/03/2014,"1,269,436",0.952188002
01/04/2014,"1,213,066",0.951710218
01/05/2014,"1,287,333",0.951092706
01/06/2014,"1,265,211",0.946122871
01/07/2014,"1,302,588",0.937127575
01/08/2014,"1,188,147",0.934589598
01/09/2014,"1,221,782",0.898931059
01/10/2014,"1,250,114",0.911575921
01/11/2014,"1,205,519",0.919709857
01/12/2014,"1,241,895",0.927330727
01/01/2015,"1,124,040",0.932841419
01/02/2015,"1,072,452",0.94307809
01/03/2015,"1,251,325",0.948030801
01/04/2015,"1,206,631",0.950086922
01/05/2015,"1,254,445",0.942913102
01/06/2015,"1,249,213",0.933810543
01/07/2015,"1,271,523",0.92327316
01/08/2015,"1,215,826",0.912779347
01/09/2015,"1,221,594",0.909724081
01/10/2015,"1,261,395",0.886578382
01/11/2015,"1,236,294",0.877547606
01/12/2015,"1,232,965",0.872657604
01/01/2016,"1,250,005",0.900351272
01/02/2016,"1,218,372",0.902755586
01/03/2016,"1,350,373",0.905599443
01/04/2016,"1,214,057",0.902852479
01/05/2016,"1,353,206",0.909763097
01/06/2016,"1,282,499",0.906478685
01/07/2016,"1,353,477",0.890530898
01/08/2016,"1,254,439",0.883790361
01/09/2016,"1,277,578",0.861759456
01/10/2016,"1,317,571",0.851413412
01/11/2016,"1,258,205",0.87530904
01/12/2016,"1,277,133",0.900094948
01/01/2017,"1,237,177",0.905152526
01/02/2017,"1,127,909",0.897003516
01/03/2017,"1,309,507",0.907251853
01/04/2017,"1,253,743",0.903478107
01/05/2017,"1,347,297",0.902992368
01/06/2017,"1,296,877",0.89666094
01/07/2017,"1,348,648",0.899418679
01/08/2017,"1,256,655",0.887665525
01/09/2017,"1,263,957",0.849850346
01/10/2017,"1,325,211",0.852991821
01/11/2017,"1,281,913",0.850447689
01/12/2017,"1,289,587",0.846212164
01/01/2018,"1,257,026",0.885724883
01/02/2018,"1,151,757",0.903901115
01/03/2018,"1,299,796",0.907629724
01/04/2018,"1,246,348",0.893194905
01/05/2018,"1,354,711",0.897270271
01/06/2018,"1,306,739",0.889436829
01/07/2018,"1,365,859",0.89009335
