Year,Warfarin_SF,Apixaban_SF,Dabigatran_SF,Rivaroxaban_SF,Edoxaban_SF,Total_SF,Total_Items,Rate_per_million
2005,155,0,0,0,0,155,5870700,26.4
2006,129,0,0,0,0,129,6294211,20.5
2007,141,0,0,0,0,141,6789848,20.77
2008,133,0,3,0,0,136,7308816,18.61
2009,125,1,91,93,0,310,7991220,38.79
2010,116,0,100,160,0,376,8546104,44
2011,110,1,131,122,0,364,9157345,39.75
2012,133,11,266,150,0,560,9773421,57.3
2013,163,45,333,430,0,971,10723241,90.55
2014,189,173,208,621,0,1191,11471800,103.82
2015,299,384,168,954,0,1805,13173500,137.02
2016,266,558,132,1003,15,1974,14646700,134.77
2017,212,701,124,735,55,1827,15937792,114.63
2018,193,680,72,581,122,1648,16999802,96.94
2019,216,626,49,412,196,1499,17991505,83.32
2020,240,406,31,332,225,1234,18871027,65.39
2021,161,362,25,244,124,916,19290554,47.48
2022,119,307,23,160,140,749,19860645,37.71
2023,128,363,15,207,301,1014,20616077,49.18
2024,110,347,13,158,186,814,21351111,38.12
2025,61,302,9,135,107,614,22304660,27.53
