Year,Warfarin_Items,Warfarin_SF,Warfarin_Rate_per_million
2005,5811993,155,26.67
2006,6231268,129,20.7
2007,6721949,141,20.98
2008,7163370,133,18.57
2009,7753081,125,16.12
2010,8122217,116,14.28
2011,8521825,110,12.91
2012,8901631,133,14.94
2013,9554407,163,17.06
2014,9880661,189,19.13
2015,10955082,299,27.29
2016,10875174,266,24.46
2017,10098185,212,20.99
2018,8919796,193,21.64
2019,6768404,216,31.91
2020,5978341,240,40.14
2021,5347341,161,30.11
2022,4718889,119,25.22
2023,4286082,128,29.86
2024,3804767,110,28.91
2025,3533058,61,17.27
