date,year,eddr_pct,lci_95,uci_95
2017-03-31,2017,67.9,61.2,73.6
2017-03-31,2017,67.9,61.2,73.6
2018-03-31,2018,67.5,60.8,73.1
2018-03-31,2018,67.5,60.8,73.1
2019-03-31,2019,68.7,61.9,74.4
2019-03-31,2019,68.7,61.9,74.4
2020-03-31,2020,67.4,60.7,73.0
2020-03-31,2020,67.4,60.7,73.0
2021-03-31,2021,61.6,55.5,66.7
2021-03-31,2021,61.6,55.5,66.7
2022-03-31,2022,62.0,55.8,67.1
2022-03-31,2022,62.0,55.8,67.1
2023-03-31,2023,63.0,56.8,68.3
2023-03-31,2023,63.0,56.8,68.3
2024-03-31,2024,64.8,58.3,70.2
2024-03-31,2024,64.8,58.3,70.2
2025-03-31,2025,65.6,59.2,71.1
2025-03-31,2025,65.6,59.2,71.1
