date,pct_face_to_face,pct_telephone,pct_gp_delivered
2018-09-01,81.0,12.9,52.0
2018-10-01,81.3,12.3,49.2
2018-11-01,81.0,12.6,49.9
2018-12-01,79.1,13.4,52.6
2019-01-01,79.3,13.5,53.2
2019-02-01,78.8,13.4,52.6
2019-03-01,79.3,13.5,53.3
2019-04-01,79.2,13.6,52.7
2019-05-01,79.5,13.5,53.0
2019-06-01,79.7,13.4,53.0
2019-07-01,79.6,13.5,52.5
2019-08-01,79.5,13.6,52.0
2019-09-01,80.5,12.7,51.0
2019-10-01,81.1,12.1,48.0
2019-11-01,80.4,12.9,50.0
2019-12-01,79.6,13.8,51.9
2020-01-01,80.0,13.6,52.1
2020-02-01,79.9,13.8,51.7
2020-03-01,66.3,27.6,53.4
2020-04-01,46.8,47.9,55.0
2020-05-01,47.1,47.6,
2020-06-01,47.2,47.6,53.4
2020-07-01,49.8,45.0,52.0
2020-08-01,51.6,43.4,52.0
2020-09-01,56.6,38.5,49.4
2020-10-01,59.6,35.2,
2020-11-01,55.4,39.7,
2020-12-01,55.8,39.4,
2021-01-01,52.9,42.6,
2021-02-01,55.3,40.5,51.8
2021-03-01,53.6,41.8,
2021-04-01,54.7,40.6,
2021-05-01,55.4,40.1,
2021-06-01,56.1,39.6,
2021-07-01,56.8,39.1,
2021-08-01,57.5,38.4,50.4
2021-09-01,60.5,35.3,49.7
2021-10-01,64.3,31.2,46.1
2021-11-01,62.6,32.9,47.9
2021-12-01,60.9,34.7,49.2
2022-01-01,60.1,35.9,50.2
2022-02-01,61.3,34.8,49.7
2022-03-01,61.9,34.1,50.1
2022-04-01,62.9,33.0,48.8
2022-05-01,64.1,32.0,49.2
2022-06-01,64.8,31.3,49.0
2022-07-01,65.4,30.8,48.1
2022-08-01,66.1,30.0,47.7
2022-09-01,68.1,27.9,47.3
2022-10-01,71.3,24.4,43.5
2023-05-01,68.9,26.7,47.0
2023-06-01,68.4,26.8,46.7
2023-07-01,67.9,26.8,45.9
2023-08-01,67.6,26.7,45.5
2023-09-01,70.6,23.9,43.9
2023-10-01,70.8,23.1,42.2
2023-11-01,67.9,25.6,44.9
2023-12-01,66.6,26.5,46.0
2024-01-01,66.6,26.3,45.5
2024-02-01,66.4,26.2,45.1
2024-03-01,65.5,26.5,45.6
2024-04-01,65.5,26.3,45.0
2024-05-01,65.3,26.0,45.2
2024-06-01,65.1,26.0,45.2
2024-07-01,64.8,26.1,44.1
2024-08-01,64.3,26.2,44.0
2024-09-01,65.1,25.5,44.0
2024-10-01,69.5,21.6,40.0
2024-11-01,65.5,24.5,43.4
2024-12-01,64.1,25.5,44.7
2025-01-01,64.1,25.4,44.6
2025-02-01,64.0,25.3,44.4
2025-03-01,63.7,25.4,44.9
2025-04-01,63.6,25.1,44.1
2025-05-01,63.3,25.2,44.6
2025-06-01,63.1,25.3,44.7
2025-07-01,63.0,25.2,43.7
2025-08-01,62.8,25.1,43.8
2025-09-01,62.8,24.9,44.4
2025-10-01,67.4,20.9,40.2
