date,appts_per_1000_registered
2018-09-01,381.9
2018-10-01,471.1
2018-11-01,455.3
2018-12-01,366.8
2019-01-01,450.2
2019-02-01,407.6
2019-03-01,428.3
2019-04-01,399.3
2019-05-01,412.9
2019-06-01,387.1
2019-07-01,438.6
2019-08-01,380.8
2019-09-01,429.5
2019-10-01,499.6
2019-11-01,444.9
2019-12-01,391.2
2020-01-01,450.5
2020-02-01,398.9
2020-03-01,397.7
2020-04-01,264.8
2020-05-01,272.1
2020-06-01,342.6
2020-07-01,372.3
2020-08-01,333.4
2020-09-01,441.9
2020-10-01,468.2
2020-11-01,414.2
2020-12-01,388.7
2021-01-01,371.2
2021-02-01,388.4
2021-03-01,449.0
2021-04-01,393.2
2021-05-01,386.7
2021-06-01,440.2
2021-07-01,422.2
2021-08-01,390.9
2021-09-01,467.0
2021-10-01,495.2
2021-11-01,496.0
2021-12-01,409.5
2022-01-01,417.1
2022-02-01,412.1
2022-03-01,480.7
2022-04-01,388.0
2022-05-01,446.1
2022-06-01,418.5
2022-07-01,419.6
2022-08-01,428.5
2022-09-01,456.7
2022-10-01,516.3
2023-05-01,443.5
2023-06-01,470.2
2023-07-01,443.8
2023-08-01,450.2
2023-09-01,496.1
2023-10-01,544.6
2023-11-01,499.7
2023-12-01,408.8
2024-01-01,513.7
2024-02-01,483.1
2024-03-01,466.9
2024-04-01,476.0
2024-05-01,475.0
2024-06-01,444.0
2024-07-01,492.1
2024-08-01,433.9
2024-09-01,470.6
2024-10-01,605.7
2024-11-01,494.1
2024-12-01,443.8
2025-01-01,517.6
2025-02-01,464.7
2025-03-01,491.6
2025-04-01,458.4
2025-05-01,456.7
2025-06-01,478.1
2025-07-01,509.7
2025-08-01,426.0
2025-09-01,502.8
2025-10-01,615.2
