date,gp_appts_per_1000
2018-09-01,198.6
2018-10-01,231.8
2018-11-01,227.3
2018-12-01,193.0
2019-01-01,239.5
2019-02-01,214.5
2019-03-01,228.3
2019-04-01,210.4
2019-05-01,218.8
2019-06-01,205.1
2019-07-01,230.4
2019-08-01,198.2
2019-09-01,219.0
2019-10-01,239.6
2019-11-01,222.5
2019-12-01,202.9
2020-01-01,234.7
2020-02-01,206.4
2020-03-01,212.4
2020-04-01,145.5
2020-06-01,183.1
2020-07-01,193.7
2020-08-01,173.4
2020-09-01,218.2
2021-02-01,201.1
2021-08-01,196.9
2021-09-01,231.9
2021-10-01,228.1
2021-11-01,237.7
2021-12-01,201.5
2022-01-01,209.3
2022-02-01,204.8
2022-03-01,240.7
2022-04-01,189.2
2022-05-01,219.5
2022-06-01,205.0
2022-07-01,202.0
2022-08-01,204.2
2022-09-01,215.9
2022-10-01,224.6
2023-05-01,208.4
2023-06-01,219.8
2023-07-01,203.5
2023-08-01,204.7
2023-09-01,217.9
2023-10-01,229.7
2023-11-01,224.6
2023-12-01,188.2
2024-01-01,233.8
2024-02-01,217.8
2024-03-01,212.7
2024-04-01,214.1
2024-05-01,214.6
2024-06-01,200.5
2024-07-01,216.9
2024-08-01,190.8
2024-09-01,207.2
2024-10-01,242.6
2024-11-01,214.4
2024-12-01,198.3
2025-01-01,230.8
2025-02-01,206.2
2025-03-01,220.8
2025-04-01,202.3
2025-05-01,203.6
2025-06-01,213.5
2025-07-01,222.7
2025-08-01,186.6
2025-09-01,223.3
2025-10-01,247.2
