Date,Shift,Flowrate_pct,Expected_CH4_pct,Actual_CH4_pct,Residual_pct
01/01/2020,Day,73,2.9,2.6,-0.3
01/01/2020,Evening,72,2.9,4.1,1.2
01/01/2020,Night,70,2.9,3.1,0.2
02/01/2020,Day,69,2.8,2.2,-0.6
02/01/2020,Evening,69,2.8,2.4,-0.4
02/01/2020,Night,69,2.8,2.9,0.1
03/01/2020,Day,71,2.9,2.3,-0.6
03/01/2020,Evening,69,2.8,4.0,1.2
03/01/2020,Night,71,2.9,2.4,-0.5
04/01/2020,Day,71,2.9,3.2,0.3
04/01/2020,Evening,71,2.9,3.6,0.7
04/01/2020,Night,69,2.8,2.7,-0.1
05/01/2020,Day,71,2.9,2.4,-0.5
05/01/2020,Evening,70,2.9,2.8,-0.1
05/01/2020,Night,69,2.8,3.0,0.2
06/01/2020,Day,69,2.8,3.2,0.4
06/01/2020,Evening,69,2.8,2.8,0.0
06/01/2020,Night,69,2.8,2.1,-0.7
07/01/2020,Day,69,2.8,2.8,0.0
07/01/2020,Evening,71,2.9,2.6,-0.3
07/01/2020,Night,71,2.9,1.8,-1.1
08/01/2020,Day,69,2.8,2.5,-0.3
08/01/2020,Evening,71,2.9,2.2,-0.7
08/01/2020,Night,69,2.8,3.1,0.3
09/01/2020,Day,71,2.9,3.9,1.0
09/01/2020,Evening,71,2.9,3.8,0.9
09/01/2020,Night,71,2.9,2.6,-0.3
10/01/2020,Day,71,2.9,2.7,-0.2
10/01/2020,Evening,70,2.9,3.2,0.3
10/01/2020,Night,69,2.8,3.3,0.5
11/01/2020,Day,70,2.9,2.7,-0.2
11/01/2020,Evening,71,2.9,2.8,-0.1
11/01/2020,Night,70,2.9,4.0,1.1
12/01/2020,Day,69,2.8,2.7,-0.1
12/01/2020,Evening,69,2.8,2.6,-0.2
12/01/2020,Night,71,2.9,3.0,0.1
13/01/2020,Day,70,2.9,3.2,0.3
13/01/2020,Evening,70,2.9,2.4,-0.5
13/01/2020,Night,70,2.9,2.8,-0.1
14/01/2020,Day,69,2.8,2.2,-0.6
14/01/2020,Evening,69,2.8,2.7,-0.1
14/01/2020,Night,70,2.9,3.8,0.9
15/01/2020,Day,69,2.8,3.2,0.4
15/01/2020,Evening,69,2.8,2.8,0.0
15/01/2020,Night,70,2.9,2.4,-0.5
16/01/2020,Day,69,2.8,2.6,-0.2
16/01/2020,Evening,70,2.9,3.4,0.5
16/01/2020,Night,70,2.9,2.6,-0.3
17/01/2020,Day,71,2.9,3.6,0.7
17/01/2020,Evening,70,2.9,2.2,-0.7
17/01/2020,Night,69,2.8,2.7,-0.1
18/01/2020,Day,71,2.9,3.8,0.9
18/01/2020,Evening,70,2.9,1.9,-1.0
18/01/2020,Night,71,2.9,3.5,0.6
19/01/2020,Day,69,2.8,1.9,-0.9
19/01/2020,Evening,70,2.9,2.9,0.0
19/01/2020,Night,69,2.8,2.7,-0.1
20/01/2020,Day,76,3.0,3.4,0.4
20/01/2020,Evening,83,3.1,1.5,-1.6
20/01/2020,Night,90,3.3,2.3,-1.0
21/01/2020,Day,96,3.4,3.1,-0.3
21/01/2020,Evening,96,3.4,3.4,0.0
21/01/2020,Night,97,3.4,3.0,-0.4
22/01/2020,Day,95,3.4,3.3,-0.1
22/01/2020,Evening,97,3.4,2.8,-0.6
22/01/2020,Night,95,3.4,3.2,-0.2
23/01/2020,Day,95,3.4,3.0,-0.4
23/01/2020,Evening,97,3.4,3.5,0.1
23/01/2020,Night,95,3.4,3.7,0.3
24/01/2020,Day,96,3.4,4.1,0.7
24/01/2020,Evening,95,3.4,3.1,-0.3
24/01/2020,Night,95,3.4,3.2,-0.2
