Date,Shift,Flowrate_pct,Expected_CH4_pct,Actual_CH4_pct,Residual_pct
01/01/2020,Day,73,2.9,3.1,0.2
01/01/2020,Evening,72,2.9,1.9,-1.0
01/01/2020,Night,70,2.9,3.4,0.5
02/01/2020,Day,69,2.8,2.8,0.0
02/01/2020,Evening,69,2.8,2.9,0.1
02/01/2020,Night,69,2.8,2.0,-0.8
03/01/2020,Day,71,2.9,1.4,-1.5
03/01/2020,Evening,69,2.8,2.2,-0.6
03/01/2020,Night,71,2.9,2.9,0.0
04/01/2020,Day,71,2.9,3.5,0.6
04/01/2020,Evening,71,2.9,2.8,-0.1
04/01/2020,Night,69,2.8,2.5,-0.3
05/01/2020,Day,71,2.9,2.9,0.0
05/01/2020,Evening,70,2.9,3.3,0.4
05/01/2020,Night,69,2.8,3.0,0.2
06/01/2020,Day,69,2.8,3.0,0.2
06/01/2020,Evening,69,2.8,2.7,-0.1
06/01/2020,Night,69,2.8,3.2,0.4
07/01/2020,Day,69,2.8,2.9,0.1
07/01/2020,Evening,71,2.9,2.4,-0.5
07/01/2020,Night,71,2.9,3.7,0.8
08/01/2020,Day,69,2.8,2.5,-0.3
08/01/2020,Evening,71,2.9,2.2,-0.7
08/01/2020,Night,69,2.8,2.8,0.0
09/01/2020,Day,71,2.9,2.6,-0.3
09/01/2020,Evening,71,2.9,3.0,0.1
09/01/2020,Night,71,2.9,3.4,0.5
10/01/2020,Day,71,2.9,2.9,0.0
10/01/2020,Evening,70,2.9,3.2,0.3
10/01/2020,Night,69,2.8,2.4,-0.4
11/01/2020,Day,70,2.9,3.3,0.4
11/01/2020,Evening,71,2.9,2.5,-0.4
11/01/2020,Night,70,2.9,2.1,-0.8
12/01/2020,Day,69,2.8,3.2,0.4
12/01/2020,Evening,69,2.8,2.4,-0.4
12/01/2020,Night,71,2.9,2.4,-0.5
13/01/2020,Day,70,2.9,2.7,-0.2
13/01/2020,Evening,70,2.9,3.5,0.6
13/01/2020,Night,70,2.9,2.7,-0.2
14/01/2020,Day,69,2.8,2.3,-0.5
14/01/2020,Evening,69,2.8,3.0,0.2
14/01/2020,Night,70,2.9,3.4,0.5
15/01/2020,Day,69,2.8,2.5,-0.3
15/01/2020,Evening,69,2.8,3.5,0.7
