Month,Monthly Average of NO2
2015-04,45.7
2015-05,34.0
2015-06,34.0
2015-07,30.6
2015-08,30.7
2015-09,40.5
2015-10,43.4
2015-11,35.2
2015-12,23.6
2016-01,45.3
2016-02,47.7
2016-03,43.9
2016-04,38.0
2016-05,29.7
2016-06,20.6
2016-07,24.3
2016-08,21.4
2016-09,
2016-10,
2016-11,
2016-12,
2017-01,
2017-02,40.6
2017-03,47.3
2017-04,45.4
2017-05,39.0
2017-06,29.0
2017-07,23.2
2017-08,22.4
2017-09,30.7
2017-10,31.7
2017-11,44.5
2017-12,39.1
2018-01,35.9
2018-02,39.7
2018-03,35.9
2018-04,30.8
2018-05,34.6
2018-06,22.9
2018-07,25.4
2018-08,22.1
2018-09,27.2
2018-10,33.3
2018-11,36.2
2018-12,35.7
2019-01,45.7
2019-02,47.1
2019-03,30.8
2019-04,
2019-05,
2019-06,24.7
2019-07,21.7
2019-08,22.1
2019-09,26.8
2019-10,34.7
2019-11,43.6
2019-12,36.2
2020-01,35.5
2020-02,26.9
2020-03,25.7
2020-04,24.6
2020-05,31.4
2020-06,16.2
2020-07,13.5
2020-08,19.4
2020-09,24.4
2020-10,25.4
2020-11,33.1
2020-12,32.5
2021-01,31.9
2021-02,28.5
2021-03,24.0
2021-04,29.4
2021-05,20.6
2021-06,16.3
2021-07,18.3
2021-08,15.2
2021-09,26.3
2021-10,24.6
2021-11,31.4
2021-12,26.7
2022-01,37.1
2022-02,19.6
2022-03,34.7
2022-04,23.3
2022-05,17.0
2022-06,15.3
2022-07,15.3
2022-08,11.5
2022-09,19.7
2022-10,21.5
2022-11,22.7
2022-12,32.2
2023-01,30.8
2023-02,31.7
2023-03,21.9
2023-04,23.4
2023-05,19.9
2023-06,19.5
2023-07,11.1
2023-08,14.1
2023-09,21.7
2023-10,22.3
2023-11,26.3
2023-12,20.1
2024-01,25.9
2024-02,20.4
2024-03,22.0
2024-04,15.1
2024-05,19.9
2024-06,13.9
2024-07,14.0
2024-08,12.4
2024-09,20.7
2024-10,23.8
2024-11,31.2
2024-12,20.8
2025-01,35.1
2025-02,27.7
2025-03,30.3
2025-04,20.9
2025-05,14.4
2025-06,11.1
2025-07,12.6
2025-08,12.1
2025-09,13.8
2025-10,17.1
2025-11,20.1
2025-12,21.1
2026-01,24.6
2026-02,20.5
2026-03,20.2
2026-04,16.2
2026-05,12.8
