Date_Entered,Problem_Cases
02/01/2017 00:00,24
09/01/2017 00:00,25
16/01/2017 00:00,31
23/01/2017 00:00,31
30/01/2017 00:00,27
06/02/2017 00:00,32
13/02/2017 00:00,22
20/02/2017 00:00,29
27/02/2017 00:00,28
06/03/2017 00:00,23
13/03/2017 00:00,33
20/03/2017 00:00,40
27/03/2017 00:00,32
03/04/2017 00:00,24
10/04/2017 00:00,32
17/04/2017 00:00,47
24/04/2017 00:00,45
01/05/2017 00:00,39
08/05/2017 00:00,38
15/05/2017 00:00,65
22/05/2017 00:00,44
29/05/2017 00:00,41
05/06/2017 00:00,46
12/06/2017 00:00,32
19/06/2017 00:00,42
26/06/2017 00:00,25
03/07/2017 00:00,28
10/07/2017 00:00,26
17/07/2017 00:00,40
24/07/2017 00:00,17
31/07/2017 00:00,22
07/08/2017 00:00,32
14/08/2017 00:00,39
21/08/2017 00:00,26
28/08/2017 00:00,15
04/09/2017 00:00,30
11/09/2017 00:00,27
18/09/2017 00:00,30
25/09/2017 00:00,31
02/10/2017 00:00,31
09/10/2017 00:00,23
16/10/2017 00:00,30
23/10/2017 00:00,26
30/10/2017 00:00,32
06/11/2017 00:00,26
13/11/2017 00:00,32
20/11/2017 00:00,30
27/11/2017 00:00,30
04/12/2017 00:00,31
11/12/2017 00:00,25
18/12/2017 00:00,28
25/12/2017 00:00,23
01/01/2018 00:00,29
08/01/2018 00:00,39
15/01/2018 00:00,33
22/01/2018 00:00,38
29/01/2018 00:00,24
05/02/2018 00:00,40
12/02/2018 00:00,26
19/02/2018 00:00,34
26/02/2018 00:00,25
05/03/2018 00:00,37
12/03/2018 00:00,30
19/03/2018 00:00,29
26/03/2018 00:00,32
02/04/2018 00:00,38
09/04/2018 00:00,43
16/04/2018 00:00,33
23/04/2018 00:00,51
30/04/2018 00:00,46
07/05/2018 00:00,43
14/05/2018 00:00,43
21/05/2018 00:00,44
28/05/2018 00:00,36
04/06/2018 00:00,57
11/06/2018 00:00,42
18/06/2018 00:00,40
25/06/2018 00:00,45
02/07/2018 00:00,42
09/07/2018 00:00,49
16/07/2018 00:00,64
23/07/2018 00:00,34
30/07/2018 00:00,46
06/08/2018 00:00,41
13/08/2018 00:00,31
20/08/2018 00:00,44
27/08/2018 00:00,25
03/09/2018 00:00,40
10/09/2018 00:00,39
17/09/2018 00:00,35
24/09/2018 00:00,45
01/10/2018 00:00,46
08/10/2018 00:00,42
15/10/2018 00:00,29
22/10/2018 00:00,43
29/10/2018 00:00,39
05/11/2018 00:00,49
12/11/2018 00:00,55
19/11/2018 00:00,32
26/11/2018 00:00,42
03/12/2018 00:00,46
10/12/2018 00:00,39
