Date,Support_Cases
07/01/2019,33
14/01/2019,32
21/01/2019,33
28/01/2019,11
04/02/2019,32
11/02/2019,37
18/02/2019,45
25/02/2019,37
04/03/2019,39
11/03/2019,146
18/03/2019,30
25/03/2019,21
01/04/2019,31
08/04/2019,41
15/04/2019,12
22/04/2019,18
29/04/2019,50
06/05/2019,32
13/05/2019,12
20/05/2019,14
27/05/2019,46
03/06/2019,38
10/06/2019,36
17/06/2019,42
24/06/2019,25
01/07/2019,46
08/07/2019,56
15/07/2019,26
22/07/2019,34
29/07/2019,26
05/08/2019,22
12/08/2019,20
19/08/2019,78
26/08/2019,24
02/09/2019,44
09/09/2019,72
16/09/2019,26
23/09/2019,22
30/09/2019,34
07/10/2019,47
14/10/2019,6
21/10/2019,18
28/10/2019,54
04/11/2019,67
11/11/2019,16
18/11/2019,33
25/11/2019,54
02/12/2019,35
09/12/2019,60
16/12/2019,37
23/12/2019,33
30/12/2019,57
06/01/2020,0
13/01/2020,46
20/01/2020,25
27/01/2020,35
03/02/2020,28
10/02/2020,56
17/02/2020,37
24/02/2020,15
02/03/2020,134
09/03/2020,35
16/03/2020,112
23/03/2020,23
30/03/2020,51
06/04/2020,44
13/04/2020,36
20/04/2020,27
27/04/2020,32
04/05/2020,67
11/05/2020,10
18/05/2020,29
25/05/2020,58
01/06/2020,34
08/06/2020,43
15/06/2020,43
22/06/2020,36
29/06/2020,46
06/07/2020,27
13/07/2020,47
20/07/2020,25
27/07/2020,40
03/08/2020,37
10/08/2020,18
17/08/2020,26
24/08/2020,17
31/08/2020,13
07/09/2020,30
14/09/2020,29
21/09/2020,24
28/09/2020,29
05/10/2020,18
12/10/2020,16
19/10/2020,28
26/10/2020,4
02/11/2020,90
09/11/2020,39
16/11/2020,0
23/11/2020,30
30/11/2020,35
07/12/2020,34
14/12/2020,28
21/12/2020,27
28/12/2020,12
04/01/2021,38
11/01/2021,24
18/01/2021,16
25/01/2021,51
01/02/2021,24
08/02/2021,20
15/02/2021,28
22/02/2021,19
01/03/2021,30
08/03/2021,37
15/03/2021,41
22/03/2021,40
29/03/2021,16
05/04/2021,16
12/04/2021,31
19/04/2021,21
26/04/2021,11
03/05/2021,34
10/05/2021,24
17/05/2021,20
24/05/2021,28
31/05/2021,24
07/06/2021,44
14/06/2021,15
21/06/2021,35
28/06/2021,41
05/07/2021,73
12/07/2021,16
19/07/2021,8
26/07/2021,2
02/08/2021,25
09/08/2021,23
16/08/2021,16
23/08/2021,12
30/08/2021,0
06/09/2021,18
13/09/2021,31
20/09/2021,20
27/09/2021,16
04/10/2021,30
11/10/2021,20
18/10/2021,17
25/10/2021,3
01/11/2021,13
08/11/2021,22
15/11/2021,22
22/11/2021,27
29/11/2021,4
06/12/2021,28
13/12/2021,25
20/12/2021,14
27/12/2021,14
03/01/2022,31
10/01/2022,38
17/01/2022,8
24/01/2022,32
31/01/2022,19
07/02/2022,11
14/02/2022,28
21/02/2022,6
28/02/2022,11
07/03/2022,19
14/03/2022,22
21/03/2022,18
28/03/2022,23
04/04/2022,16
11/04/2022,26
18/04/2022,16
25/04/2022,22
02/05/2022,16
09/05/2022,23
16/05/2022,22
23/05/2022,10
30/05/2022,11
06/06/2022,46
13/06/2022,29
20/06/2022,15
27/06/2022,5
04/07/2022,18
11/07/2022,14
18/07/2022,16
25/07/2022,5
01/08/2022,7
08/08/2022,14
15/08/2022,1
22/08/2022,17
29/08/2022,8
05/09/2022,17
12/09/2022,5
19/09/2022,14
26/09/2022,8
03/10/2022,12
10/10/2022,12
17/10/2022,8
24/10/2022,8
31/10/2022,8
07/11/2022,9
14/11/2022,16
21/11/2022,1
28/11/2022,12
05/12/2022,9
12/12/2022,9
19/12/2022,28
26/12/2022,18
02/01/2023,15
09/01/2023,14
16/01/2023,9
23/01/2023,11
30/01/2023,2
06/02/2023,13
13/02/2023,1
20/02/2023,4
27/02/2023,10
06/03/2023,5
13/03/2023,18
20/03/2023,6
27/03/2023,11
03/04/2023,18
10/04/2023,8
17/04/2023,8
24/04/2023,10
01/05/2023,15
08/05/2023,12
15/05/2023,42
22/05/2023,6
29/05/2023,10
05/06/2023,16
12/06/2023,7
19/06/2023,24
26/06/2023,6
03/07/2023,11
10/07/2023,1
17/07/2023,3
24/07/2023,5
31/07/2023,6
07/08/2023,7
14/08/2023,5
21/08/2023,7
28/08/2023,6
04/09/2023,6
11/09/2023,11
18/09/2023,7
25/09/2023,9
02/10/2023,7
09/10/2023,7
16/10/2023,4
23/10/2023,14
30/10/2023,8
06/11/2023,4
13/11/2023,10
20/11/2023,7
27/11/2023,0
04/12/2023,10
11/12/2023,10
18/12/2023,5
25/12/2023,2
01/01/2024,6
08/01/2024,5
15/01/2024,7
22/01/2024,7
29/01/2024,9
05/02/2024,6
12/02/2024,5
19/02/2024,3
26/02/2024,9
04/03/2024,3
11/03/2024,7
18/03/2024,4
25/03/2024,4
01/04/2024,6
