Date,Support_Cases
01/07/2019,33
01/14/2019,32
01/21/2019,33
01/28/2019,11
02/04/2019,32
02/11/2019,37
02/18/2019,45
02/25/2019,37
03/04/2019,39
03/11/2019,146
03/18/2019,30
03/25/2019,21
04/01/2019,31
04/08/2019,41
04/15/2019,12
04/22/2019,18
04/29/2019,50
05/06/2019,32
05/13/2019,12
05/20/2019,14
05/27/2019,46
06/03/2019,38
06/10/2019,36
06/17/2019,42
06/24/2019,25
07/01/2019,46
07/08/2019,56
07/15/2019,26
07/22/2019,34
07/29/2019,26
08/05/2019,22
08/12/2019,20
08/19/2019,78
08/26/2019,24
09/02/2019,44
09/09/2019,72
09/16/2019,26
09/23/2019,22
09/30/2019,34
10/07/2019,47
10/14/2019,6
10/21/2019,18
10/28/2019,54
11/04/2019,67
11/11/2019,16
11/18/2019,33
11/25/2019,54
12/02/2019,35
12/09/2019,60
12/16/2019,37
12/23/2019,33
12/30/2019,57
01/06/2020,0
01/13/2020,46
01/20/2020,25
01/27/2020,35
02/03/2020,28
02/10/2020,56
02/17/2020,37
02/24/2020,15
03/02/2020,134
03/09/2020,35
03/16/2020,112
03/23/2020,23
03/30/2020,51
04/06/2020,44
04/13/2020,36
04/20/2020,27
04/27/2020,32
05/04/2020,67
05/11/2020,10
05/18/2020,29
05/25/2020,58
06/01/2020,34
06/08/2020,43
06/15/2020,43
06/22/2020,36
06/29/2020,46
07/06/2020,27
07/13/2020,47
07/20/2020,25
07/27/2020,40
08/03/2020,37
08/10/2020,18
08/17/2020,26
08/24/2020,17
08/31/2020,13
09/07/2020,30
09/14/2020,29
09/21/2020,24
09/28/2020,29
10/05/2020,18
10/12/2020,16
10/19/2020,28
10/26/2020,4
11/02/2020,90
11/09/2020,39
11/16/2020,0
11/23/2020,30
11/30/2020,35
12/07/2020,34
12/14/2020,28
12/21/2020,27
12/28/2020,12
01/04/2021,38
01/11/2021,24
01/18/2021,16
01/25/2021,51
02/01/2021,24
02/08/2021,20
02/15/2021,28
02/22/2021,19
03/01/2021,30
03/08/2021,37
03/15/2021,41
03/22/2021,40
03/29/2021,16
04/05/2021,16
04/12/2021,31
04/19/2021,21
04/26/2021,11
05/03/2021,34
05/10/2021,24
05/17/2021,20
05/24/2021,28
05/31/2021,24
06/07/2021,44
06/14/2021,15
06/21/2021,35
06/28/2021,41
07/05/2021,73
07/12/2021,16
07/19/2021,8
07/26/2021,2
08/02/2021,25
08/09/2021,23
08/16/2021,16
08/23/2021,12
08/30/2021,0
09/06/2021,18
09/13/2021,31
09/20/2021,20
09/27/2021,16
10/04/2021,30
10/11/2021,20
10/18/2021,17
10/25/2021,3
11/01/2021,13
11/08/2021,22
11/15/2021,22
11/22/2021,27
11/29/2021,4
12/06/2021,28
12/13/2021,25
12/20/2021,14
12/27/2021,14
01/03/2022,31
01/10/2022,38
01/17/2022,8
01/24/2022,32
01/31/2022,19
02/07/2022,11
02/14/2022,28
02/21/2022,6
02/28/2022,11
03/07/2022,19
03/14/2022,22
03/21/2022,18
03/28/2022,23
04/04/2022,16
04/11/2022,26
04/18/2022,16
04/25/2022,22
05/02/2022,16
05/09/2022,23
05/16/2022,22
05/23/2022,10
05/30/2022,11
06/06/2022,46
06/13/2022,29
06/20/2022,15
06/27/2022,5
07/04/2022,18
07/11/2022,14
07/18/2022,16
07/25/2022,5
08/01/2022,7
08/08/2022,14
08/15/2022,1
08/22/2022,17
08/29/2022,8
09/05/2022,17
09/12/2022,5
09/19/2022,14
09/26/2022,8
10/03/2022,12
10/10/2022,12
10/17/2022,8
10/24/2022,8
10/31/2022,8
11/07/2022,9
11/14/2022,16
11/21/2022,1
11/28/2022,12
12/05/2022,9
12/12/2022,9
12/19/2022,28
12/26/2022,18
01/02/2023,15
01/09/2023,14
01/16/2023,9
01/23/2023,11
01/30/2023,2
02/06/2023,13
02/13/2023,1
02/20/2023,4
02/27/2023,10
03/06/2023,5
03/13/2023,18
03/20/2023,6
03/27/2023,11
04/03/2023,18
04/10/2023,8
04/17/2023,8
04/24/2023,10
05/01/2023,15
05/08/2023,12
05/15/2023,42
05/22/2023,6
05/29/2023,10
06/05/2023,16
06/12/2023,7
06/19/2023,24
06/26/2023,6
07/03/2023,11
07/10/2023,1
07/17/2023,3
07/24/2023,5
07/31/2023,6
08/07/2023,7
08/14/2023,5
08/21/2023,7
08/28/2023,6
09/04/2023,6
09/11/2023,11
09/18/2023,7
09/25/2023,9
10/02/2023,7
10/09/2023,7
10/16/2023,4
10/23/2023,14
10/30/2023,8
11/06/2023,4
11/13/2023,10
11/20/2023,7
11/27/2023,0
12/04/2023,10
12/11/2023,10
12/18/2023,5
12/25/2023,2
01/01/2024,6
01/08/2024,5
01/15/2024,7
01/22/2024,7
01/29/2024,9
02/05/2024,6
02/12/2024,5
02/19/2024,3
02/26/2024,9
03/04/2024,3
03/11/2024,7
03/18/2024,4
03/25/2024,4
04/01/2024,6
