year,underlying_cause_deaths,mentioned_anywhere_deaths,ratio
2001,1958,17599,9
2002,2031,19259,9.5
2003,2102,21368,10.2
2004,2208,22935,10.4
2005,2418,25783,10.7
2006,2416,27403,11.3
2007,2373,26904,11.3
2008,2217,26264,11.8
2009,2280,25669,11.3
2010,2183,25078,11.5
2011,2158,23571,10.9
2012,2031,23034,11.3
2013,2175,22967,10.6
2014,2370,22826,9.6
2015,2805,24784,8.8
2016,2900,24973,8.6
2017,2630,23709,9
2018,2757,23185,8.4
2019,2482,21458,8.6
2020,1771,19324,10.9
2021,2909,21947,7.5
2022,3770,25542,6.8
2023,4276,26203,6.1
