Year,Total greenhouse gas emissions,Electricity Supply,Domestic transport
1990,790.8,204.0,121.7
1991,800.6,200.6,120.2
1992,780.4,188.5,121.4
1993,761.4,171.0,122.6
1994,748.7,166.7,122.7
1995,742.7,163.6,121.6
1996,763.5,163.2,126.4
1997,739.7,150.7,126.9
1998,738.8,155.6,126.2
1999,710.7,147.6,127.0
2000,712.3,159.0,125.8
2001,716.3,169.9,126.0
2002,694.9,165.5,128.0
2003,703.0,174.5,128.9
2004,699.4,174.1,130.0
2005,692.3,173.4,131.2
2006,688.3,182.3,133.1
2007,674.8,178.0,133.4
2008,652.7,172.9,127.1
2009,596.9,151.2,122.9
2010,612.0,157.4,121.3
2011,567.8,144.7,119.2
2012,585.1,158.7,119.2
2013,573.0,147.7,118.3
2014,530.7,124.5,120.3
2015,510.7,104.3,120.3
2016,483.2,82.3,124.1
2017,471.8,72.2,124.9
2018,464.1,65.9,123.6
2019,447.5,57.9,120.1
2020,407.5,49.5,98.7
2021,422.2,54.8,107.3
2022,404.0,55.4,108.7
2023,383.9,44.9,107.7
2024,373.4,37.7,108.0
