Year,% GDP Growrh UK,Year Starting,Cumulative
1949,3.3,01/01/1949,100
1950,3.3,01/01/1950,103.3
1951,3.7,01/01/1951,106.6
1952,1.5,01/01/1952,110.3
1953,5.5,01/01/1953,111.8
1954,4.4,01/01/1954,117.3
1955,4,01/01/1955,121.7
1956,1.7,01/01/1956,125.7
1957,2,01/01/1957,127.4
1958,1.3,01/01/1958,129.4
1959,4.3,01/01/1959,130.7
1960,6.3,01/01/1960,135
1961,2.7,01/01/1961,141.3
1962,1.1,01/01/1962,144
1963,4.8,01/01/1963,145.1
1964,5.7,01/01/1964,149.9
1965,2.1,01/01/1965,155.6
1966,1.6,01/01/1966,157.7
1967,2.8,01/01/1967,159.3
1968,5.5,01/01/1968,162.1
1969,1.9,01/01/1969,167.6
1970,2.7,01/01/1970,169.5
1971,3.6,01/01/1971,172.2
1972,4.4,01/01/1972,175.8
1973,6.5,01/01/1973,180.2
1974,-2.5,01/01/1974,186.7
1975,-1.5,01/01/1975,184.2
1976,3,01/01/1976,182.7
1977,2.5,01/01/1977,185.7
1978,4.2,01/01/1978,188.2
1979,3.7,01/01/1979,192.4
1980,-2,01/01/1980,196.1
1981,-0.6,01/01/1981,194.1
1982,2,01/01/1982,193.5
1983,4.2,01/01/1983,195.5
1984,2.2,01/01/1984,199.7
1985,4.1,01/01/1985,201.9
1986,3.1,01/01/1986,206
1987,5.5,01/01/1987,209.1
1988,5.4,01/01/1988,214.6
1989,2.4,01/01/1989,220
1990,0.6,01/01/1990,222.4
1991,-1.4,01/01/1991,223
1992,0.3,01/01/1992,221.6
1993,2.3,01/01/1993,221.9
1994,3.4,01/01/1994,224.2
1995,2.4,01/01/1995,227.6
1996,2.6,01/01/1996,230
1997,4.9,01/01/1997,232.6
1998,3.2,01/01/1998,237.5
1999,2.9,01/01/1999,240.7
2000,4.5,01/01/2000,243.6
2001,2.4,01/01/2001,248.1
2002,1.7,01/01/2002,250.5
2003,3.2,01/01/2003,252.2
2004,2.3,01/01/2004,255.4
2005,2.8,01/01/2005,257.7
2006,2.2,01/01/2006,260.5
2007,2.9,01/01/2007,262.7
2008,0,01/01/2008,265.6
2009,-4.6,01/01/2009,265.6
2010,2.3,01/01/2010,261
2011,0.9,01/01/2011,263.3
2012,1.5,01/01/2012,264.2
2013,1.7,01/01/2013,265.7
2014,3.2,01/01/2014,267.4
2015,2.1,01/01/2015,270.6
2016,2.2,01/01/2016,272.7
2017,3,01/01/2017,274.9
2018,1.6,01/01/2018,277.9
2019,1.3,01/01/2019,279.5
2020,-10,01/01/2020,280.8
2021,8.5,01/01/2021,270.8
2022,5.1,01/01/2022,279.3
2023,0.3,01/01/2023,284.4
2024,1.1,01/01/2024,284.7
2025,1.3,01/01/2025,285.8
