Year-Month,Average of NO2
2015-04,88
2015-05,89
2015-06,90
2015-07,96
2015-08,86
2015-09,82
2015-10,81
2015-11,102
2015-12,100
2016-01,95
2016-02,88
2016-03,84
2016-04,93
2016-05,76
2016-06,87
2016-07,93
2016-08,80
2016-09,99
2016-10,77
2016-11,94
2016-12,103
2017-01,98
2017-02,87
2017-03,90
2017-04,73
2017-05,83
2017-06,92
2017-07,82
2017-08,79
2017-09,81
2017-10,80
2017-11,80
2017-12,81
2018-01,87
2018-02,79
2018-03,87
2018-04,100
2018-05,89
2018-06,79
2018-07,92
2018-08,75
2018-09,86
2018-10,87
2018-11,75
2018-12,79
2019-01,63
2019-02,82
2019-03,70
2019-04,59
2019-05,59
2019-06,64
2019-07,57
2019-08,58
2019-09,57
2019-10,60
2019-11,60
2019-12,62
2020-01,60
2020-02,65
2020-03,52
2020-04,34
2020-05,31
2020-06,35
2020-07,32
2020-08,37
2020-09,44
2020-10,44
2020-11,46
2020-12,46
2021-01,40
2021-02,46
2021-03,45
2021-04,42
2021-05,43
2021-06,33
2021-07,40
2021-08,35
2021-09,47
2021-10,49
2021-11,48
2021-12,48
2022-01,53
2022-02,53
2022-03,56
2022-04,40
2022-05,45
2022-06,45
2022-07,37
2022-08,33
2022-09,37
2022-10,46
2022-11,47
2022-12,42
2023-01,46
2023-02,45
2023-03,37
2023-04,40
2023-05,32
2023-06,40
2023-07,37
2023-08,37
2023-09,50
2023-10,51
2023-11,43
2023-12,42
2024-01,42
2024-02,49
2024-03,43
2024-04,32
2024-05,35
2024-06,29
2024-07,34
2024-08,30
2024-09,31
2024-10,38
2024-11,36
2024-12,32
2025-01,42
2025-02,33
2025-03,38
2025-04,36
2025-05,25
2025-06,36
2025-07,27
2025-08,22
2025-09,24
2025-10,29
2025-11,30
2025-12,28
2026-01,35
2026-02,32
2026-03,30
2026-04,25
2026-05,26
,
,
